epoch,loss_total,loss_recon,loss_kld
1,-141.40600093663167,-147.5866634828581,6.180662378909991
2,-313.25288885102856,-321.58669330404814,8.333804113401783
3,-312.680010239855,-320.5918854637969,7.911874500109995
4,-317.23843800935816,-325.08672777354286,7.848289325082902
5,-312.19347485878484,-319.8852716898747,7.6917952221932175
6,-315.8531573178957,-323.60493403373005,7.75177558034444
7,-316.05423423712205,-323.6966653727799,7.642432247134422
8,-317.6878676380185,-325.2675776858982,7.579710095906429
9,-317.6733616890667,-325.26069772843834,7.587336811230337
10,-317.12231061098385,-324.5762310439734,7.453920573639355
11,-318.1177508676652,-325.5121810144658,7.394430585902372
12,-318.98319480402006,-326.3856050779494,7.4024111075367
13,-319.4066648414667,-326.7017129582467,7.295047358643237
14,-319.13314325346363,-326.42939769278325,7.296254092840839
15,-318.88545841793365,-326.1347245689776,7.24926509788568
16,-319.5123076953476,-326.72809123306826,7.215783589177852
17,-319.1578073844635,-326.33243950493903,7.174631972964719
18,-317.3677701881464,-324.51780865346785,7.150038533931156
19,-319.54586550486175,-326.6671108547732,7.121246183518883
20,-317.9267555072153,-325.00166726969985,7.0749121844339715
21,-319.7082974001658,-326.7937373977771,7.0854400627904655
22,-319.2957011709968,-326.351848794402,7.05614892698878
23,-320.65419522292325,-327.7360136183046,7.081819956251185
24,-319.0111071909074,-325.98384544317673,6.972737727405356
25,-319.7234609041283,-326.75086931187474,7.027407275687019
26,-319.82330443018634,-326.8087947488689,6.985491076819331
27,-319.37256704646046,-326.33456344055617,6.961996562189335
28,-319.67255582740836,-326.62019721381097,6.947642796331173
29,-320.1420081708071,-327.0836059789863,6.941598219837216
30,-318.5779785595352,-325.51815356796595,6.940174799171283
31,-319.8720813998215,-326.8041268767213,6.932045387707168
32,-320.86005319279735,-327.7654922814678,6.905438656429593
33,-320.6018619674573,-327.49159943285605,6.889737551160853
34,-319.41472993480215,-326.3077423315254,6.893012581969336
35,-319.4475173401318,-326.37178928732015,6.924271981493175
36,-319.5532360488562,-326.4635520221518,6.910316213429403
37,-321.11771101917293,-328.0668445834153,6.94913324177694
38,-320.26292342590773,-327.1383748226028,6.875450854678806
39,-319.7418616864321,-326.61833015277233,6.876468054682231
40,-321.55050022482015,-328.4342953249705,6.883795010957787
41,-319.8638173933509,-326.732820359923,6.869002976863504
42,-320.4256643391342,-327.2605146229696,6.834850040271128
43,-322.01603281583715,-328.90171133356984,6.885678462844958
